CHEMBL1485360,N#CC(Cl)Cl
CHEMBL1379,C1CCSC1
CHEMBL2206490,[NH-]S(N)(=O)=O
CHEMBL1595845,CC=C(Cl)Cl
CHEMBL3187685,O=C(Cl)CCl
CHEMBL509273,O=C(O)CF
CHEMBL2287704,CCC(Cl)Cl
CHEMBL1741048,[O-][N+]([O-])=NO
CHEMBL1627016,[O-]N=[N+]([O-])[O-]
CHEMBL2171711,c1cnon1
CHEMBL1797287,CCC(C)C
CHEMBL1162545,O=CC(=O)O
CHEMBL1404017,CC(C)C=O
CHEMBL68253,NS(=O)(=O)O
CHEMBL14079,COC(C)=O
CHEMBL773,NCC(=O)O
CHEMBL115530,NCCCO
CHEMBL226728,C=C=CCBr
CHEMBL1551365,CCON=O
CHEMBL3951138,C=C=CCN
CHEMBL37279,C[C@H](N)CS
CHEMBL1213179,C=CCON
CHEMBL13257,c1cnoc1
CHEMBL113957,OCC(Cl)Cl
CHEMBL3559764,CC(O)C#N
CHEMBL170721,CC(=O)C=O
CHEMBL346368,NC(=O)CCl
CHEMBL47259,CCCCCl
CHEMBL1229871,C[C@H](N)CO
CHEMBL501668,FC[C@H]1CO1
CHEMBL60851,O=C(O)CBr
CHEMBL16502,CC(C)(C)O
CHEMBL174324,NCCCN
CHEMBL379652,OCCCO
CHEMBL1162281,NCC(F)F
CHEMBL3187281,C1COCO1
CHEMBL355001,NS(N)(=O)=O
CHEMBL3561468,CC=CC=O
CHEMBL347644,CC(C)(C)Br
CHEMBL2112024,[11CH3]SC(=N)N
CHEMBL446288,C[C@@H](O)CBr
CHEMBL14090,O=C(O)CCl
CHEMBL45462,CCC(C)O
CHEMBL1200627,O=C1CCO1
CHEMBL1319459,CC(N)CN
CHEMBL116745,C=COCC
CHEMBL309499,N=C(N)NO
CHEMBL2335229,O=[N+]([O-])CBr
CHEMBL117135,C1=CCOC1
CHEMBL1529759,C=C(C)C#N
CHEMBL1256514,CC(=O)NBr
CHEMBL122577,CP(O)(O)=S
CHEMBL504705,BrC[C@H]1CO1
CHEMBL540,c1c[nH]cn1
CHEMBL499553,FC(F)(Br)Br
CHEMBL543411,C#CCNC
CHEMBL3183066,BrCC1CO1
CHEMBL156276,CCC(C)Br
CHEMBL116663,CC(N)CO
CHEMBL44814,ClC(Cl)(Cl)Cl
CHEMBL333905,NP(N)(=O)O
CHEMBL2323294,N=C(N)CCl
CHEMBL903,NNC(N)=O
CHEMBL268447,O=CNCO
CHEMBL3561804,ClC=CCCl
CHEMBL160508,CC(C)=CCl
CHEMBL160811,NC(=O)CF
CHEMBL1378095,CCC1CO1
CHEMBL1797000,FC(F)CCl
CHEMBL116709,C/C=C\CO
CHEMBL16225,c1cc[nH]c1
CHEMBL295337,C=CCCC
CHEMBL466545,OCCCBr
CHEMBL156560,ClCCCBr
CHEMBL344042,O=C1CCN1
CHEMBL15625,CC[N+](=O)[O-]
CHEMBL1085707,COC(N)=O
CHEMBL276727,NC(=O)CI
CHEMBL3039600,CS(=O)(=O)O
CHEMBL348290,FC(Cl)(Cl)Cl
CHEMBL2107242,O=S([O-])CO
CHEMBL4210072,OP(O)(=S)S
CHEMBL278958,c1ccsc1
CHEMBL1233056,NCC(=O)S
CHEMBL4297433,CS(=O)(=O)F
CHEMBL1780190,N=S(=O)([O-])[O-]
CHEMBL162694,C#CCOC
CHEMBL1530150,OCC1CO1
CHEMBL1208642,O=S(O)(O)=S
CHEMBL117181,CCSCC
CHEMBL3707233,NCC(=O)[O-]
CHEMBL1189,CCNCC
CHEMBL1222057,NCC(N)=O
CHEMBL3974691,NC/C=C/Cl
CHEMBL160835,CC(Br)CCl
CHEMBL3188745,O=S(O)C[O-]
CHEMBL446036,O=CCC=O
CHEMBL1451739,N#CCCCl
CHEMBL278882,CC[S+](C)[O-]
CHEMBL3188826,C1=CCC=C1
CHEMBL349587,CC(C)(Cl)Cl
CHEMBL609099,CCN(C)C
CHEMBL3183346,NNCCO
CHEMBL225304,N=C(N)NN
CHEMBL1462419,N#CC(Br)Br
CHEMBL1208639,O=P(O)(O)F
CHEMBL157418,CC(C)=CBr
CHEMBL1962624,N=C(N)CF
